Frequency_Hz,Magnitude_CH1,Magnitude_CH2,Phase_CH1,Phase_CH2,Transf_Magnitude,Transf_Phase
99.9999998363421,-0.04807172170625676,-11.21197927902325,-0.05873040724703787,88.8944180368129,-30.932276858327757,88.95314844405995
102.7459483774828,-0.04161904444610614,-10.93072049451006,-0.1075722877748682,88.7471923935356,-30.65747075107472,88.85476468131047
105.5672992526529,-0.04274375539462764,-10.77839460323815,-0.08847146234919812,87.71488477294962,-30.504020148854288,87.80335623529882
108.466122971147,-0.04943294811846404,-10.43956795760271,-0.1042859816831548,88.9740333030026,-30.15850431049501,89.07831928468575
111.4445468973795,-0.0399542617654251,-10.37770267861457,-0.08283649490503357,88.42625697940423,-30.10611771785991,88.50909347430927
114.5047568120973,-0.04077456549525988,-10.12758014534981,-0.0561542644832787,87.31530434542495,-29.855174880865313,87.37145860990823
117.6489985164616,-0.03643313480491473,-9.806030171087393,-0.1022730175963291,87.74371050067849,-29.53796633729324,87.84598351827482
120.8795794801782,-0.04821984369173017,-9.54958916504079,-0.1016484901607742,87.11445035816486,-29.269738622359824,87.21609884832563
124.1988705348835,-0.04761719632230851,-9.404781509328249,-0.1082314603265347,87.41840894066596,-29.125533614016703,87.52664040099249
127.6093076140309,-0.03934594816529752,-9.209026257813322,-0.09036204999608134,87.97582697128722,-28.938049610658787,88.06618902128331
131.1133935405529,-0.03719400804718781,-8.853673222393766,-0.1170228816104443,88.01418504932873,-28.584848515357344,88.13120793093917
134.713699863612,-0.0588469995310163,-8.720860114191572,-0.1312377201549287,87.34211597548803,-28.430382415671318,87.47335369564296
138.4128687457876,-0.04715778639857572,-8.413114506034345,-0.1024364058692166,88.16080960644581,-28.134326020646533,88.26324601231502
142.2136149020837,-0.04859718449850974,-8.233259626771426,-0.08232921542913936,87.06725887592174,-27.95303174328368,87.14958809135088
146.1187275921821,-0.05948119117033994,-7.955448181574518,-0.109886007830526,87.2236334408601,-27.66433629141494,87.33351944869062
150.1310726673995,-0.06367187485991302,-7.725946492242821,-0.1078539964716007,87.82837380697556,-27.430643918393674,87.93622780344718
154.2535946738558,-0.04193453500645857,-7.526791324676818,-0.1190651024433358,87.6754729115205,-27.253226090681125,87.79453801396383
158.4893190133918,-0.05297411805740154,-7.328778153911259,-0.1476656638767914,87.73435497375074,-27.04417333686462,87.88202063762755
162.8413541638263,-0.04623850453616041,-7.07066402436761,-0.1627881585081041,87.43728421987598,-26.792794820842214,87.60007237838408
167.3128939601797,-0.0484337244114024,-6.792819690188744,-0.156126586846933,87.43490128951254,-26.512755266788105,87.59102787635948
171.9072199385386,-0.04554939671562054,-6.559373070943558,-0.1193229159515908,86.90372256755757,-26.2821929752387,87.02304548350915
176.627703744282,-0.05632036789295571,-6.398278232754929,-0.1348827522432249,86.87894818181684,-26.11032716587274,87.01383093406007
181.4778096064361,-0.05219384629047291,-6.158584764905395,-0.1826108884375232,87.29016031445603,-25.874760219625685,87.47277120289355
186.4610968799737,-0.04974480562723634,-5.919816438281326,-0.128162577292304,86.83805308979531,-25.638440933664853,86.96621566708761
191.5812226579239,-0.05381606548226016,-5.693149872181362,-0.1538029814196476,86.84490163045628,-25.407703107709867,86.99870461187592
196.8419444552083,-0.05679279765088513,-5.460288359994612,-0.1401359979745157,87.07229921466065,-25.171864863354493,87.21243521263516
202.2471229661752,-0.03917831969405856,-5.224985592617032,-0.123972812769425,86.74584021362722,-24.954176573933736,86.86981302639664
207.8007248978529,-0.06357811574618268,-4.99274792222841,-0.1698389287778788,86.50611038175349,-24.697539107492993,86.67594931053137
213.5068258810039,-0.04703548918020881,-4.764609371515234,-0.1559732663444281,87.03328609071195,-24.48594318334579,87.18925935705639
219.3696134611141,-0.05958126932310983,-4.550576185436413,-0.1230065894484545,86.13891466945641,-24.259364217124066,86.26192125890486
225.3933901715141,-0.05745800950002591,-4.31398223105144,-0.1770926645443996,86.056092096871,-24.02489352256218,86.2331847614154
231.5825766908855,-0.04597683201800765,-4.060014415921436,-0.1528333613528647,86.04896568217112,-23.78240688491419,86.20179904352398
237.9417150874722,-0.04741377251059082,-3.840416358190188,-0.1691289645425717,85.95897191658506,-23.561371886690363,86.12810088112764
244.4754721523749,-0.06145225706781536,-3.621094610057209,-0.1544036296546609,85.94557774105296,-23.328011654000157,86.09998137070764
251.1886428243766,-0.0493009345281687,-3.388177114135422,-0.1809017774394579,85.89567849417317,-23.10724548061802,86.07658027161263
258.0861537088122,-0.04984146376416581,-3.17217381592211,-0.1732316803906357,85.51907805444675,-22.89070165316871,85.69230973483738
265.1730666930638,-0.06623518455454606,-2.917300772780844,-0.1372801834995319,85.74836285016812,-22.619434889237063,85.88564303366765
272.454582661337,-0.04494216166038642,-2.664954165705271,-0.2321020881493805,85.4973500933374,-22.38838130505565,85.72945218148678
279.936045311441,-0.04965463343188457,-2.467254877750993,-0.2294283222139938,85.36456581845208,-22.185969545329872,85.59399414066607
287.6229450763778,-0.04416614236213459,-2.240642802310072,-0.2425073689292289,85.36304473346972,-21.9648459609587,85.60555210239895
295.5209231536143,-0.05761664734085009,-1.972362336792613,-0.2127320581557562,85.36296376778073,-21.683114990462528,85.57569582593649
303.6357756449972,-0.05183508423940672,-1.702421553611425,-0.253187776538981,84.23024785842904,-21.418955770382784,84.48343563496802
311.9734578103477,-0.05822244226244798,-1.484740933347044,-0.2427430736619179,84.50823799606496,-21.19488779209536,84.75098106972688
320.5400884378573,-0.04192440487582161,-1.294599379859044,-0.2037301058374643,84.77971351116986,-21.021044275993987,84.98344361700732
329.3419543344928,-0.05358009304111588,-1.078792375654897,-0.2468497872099224,84.65480216972436,-20.793581583624544,84.90165195693429
338.3855149397057,-0.05561443119295312,-0.7982435387507542,-0.2459008192747614,84.30078715752761,-20.510998408568565,84.54668797680237
347.6774070658311,-0.05843730390594415,-0.6029651052096273,-0.2345845682810221,84.19386669857873,-20.312897102314448,84.42845126685975
357.2244497686557,-0.06063032355797585,-0.3499663799074059,-0.2690140992183732,84.12455708108575,-20.057705357360195,84.39357118030412
367.0336493517297,-0.03831053872422722,-0.1321423557612114,-0.2268672442950611,83.82835897652768,-19.86220111804775,84.05522622082275
377.1122045080934,-0.06251637031073728,0.0876606592165047,-0.2679135856388674,83.81023702132063,-19.618192271483522,84.0781506069595
387.4675116031943,-0.05899395168045856,0.3096094465850712,-0.267330649861223,83.62000575381933,-19.399765902745234,83.88733640368055
398.1071701028692,-0.05088058983936009,0.544477740594427,-0.2801046141193975,83.26072310772462,-19.17301097057698,83.54082772184401
409.0389881503765,-0.06531088915477437,0.7600863148180547,-0.2515011693730007,83.13367592638767,-18.942972097037934,83.38517709576067
420.2709882965707,-0.05614188860639294,1.020839356471951,-0.2799849645783148,83.0291418025853,-18.69138805593242,83.30912676716362
431.8114133874249,-0.05958104147317002,1.239986201168259,-0.3399873276771078,82.82236755868587,-18.468802058369334,83.16235488636299
443.6687326132216,-0.05401340806368213,1.496683414578222,-0.3291438551847952,82.57333802644555,-18.21767247836886,82.90248188163035
455.8516477238502,-0.06249088998163849,1.724313053676308,-0.3440266066762207,81.9797315674156,-17.981565357352817,82.32375817409182
468.3690994147752,-0.06290981891084069,1.930689763049543,-0.3295034965386542,82.18196230210908,-17.774769719050383,82.51146579864773
481.2302738883575,-0.05657340508734357,2.169101377346051,-0.3603735263458489,81.8951547026104,-17.54269451857737,82.25552822895625
494.4446095953488,-0.04948047223647717,2.452613008421298,-0.3674400823734726,81.45699875022517,-17.26627582035299,81.82443883259864
508.0218041615014,-0.05326540103643752,2.691617464026464,-0.3941824564831801,81.17599741490145,-17.023486435947863,81.57017987138462
521.9718215043814,-0.06628037913977891,2.89153371407756,-0.370934298906016,81.08963756981647,-16.810555207793424,81.4605718687225
536.3048991456038,-0.06461915217138721,3.138112142667563,-0.4022064199482733,80.63686951339916,-16.565638006171813,81.03907593334743
551.0315557238603,-0.0654078074559769,3.381114062706649,-0.4345235992442316,80.632135075961,-16.321847430848138,81.06665867520523
566.1625987142479,-0.06030152005021712,3.568174114976998,-0.4226917823032277,80.46004479106578,-16.13989366598355,80.88273657336903
581.7091323595694,-0.06211348937341672,3.823258909119527,-0.429815766593757,79.76152330234105,-15.88299690251782,80.19133906893481
597.6825658194213,-0.05243302287893745,4.032212201856351,-0.4068336284132269,80.09757936274752,-15.683724076275476,80.50441299116075
614.0946215430519,-0.07186306768746567,4.265097082176506,-0.4151865229122698,79.74234456157306,-15.431409151146791,80.15753108448533
630.9573438721341,-0.06602429402527739,4.513378224884067,-0.4773277420372095,79.45712749733576,-15.18896678210142,79.93445523937297
648.2831078797664,-0.06198982929406829,4.748740876847913,-0.4744959209825672,79.45581323043068,-14.957638594868783,79.93030915141324
666.0846284521864,-0.0647678838661135,5.015871411531548,-0.4839990980701712,78.83096039786008,-14.687730005613103,79.31495949593025
684.3749696198653,-0.0591101603531456,5.237368677470745,-0.4686905756935593,78.64126623871194,-14.471890463186874,79.10995681440549
703.16755414483,-0.06135516998579105,5.451781678006076,-0.511925678439969,78.24434356331243,-14.255232453018898,78.75626924175239
722.4761733712451,-0.07342373711187766,5.648155359282775,-0.4530913678860894,77.9414584053906,-14.046790204616112,78.3945497732767
742.3149973464901,-0.06344997742003645,5.844482193866131,-0.5308992754173696,77.59343380378868,-13.860437129724597,78.12433307920605
762.6985852201543,-0.07611277783571471,6.122027648859911,-0.5389630312748402,77.48923312956695,-13.570228874315138,78.0281961608418
783.6418959285834,-0.06008364378249785,6.350058549115689,-0.5307146897090499,76.83997051773923,-13.358227108112578,77.37068520744828
805.1602991728187,-0.07610079336643008,6.543461223936235,-0.5866064486240096,77.0887609100154,-13.1488072837081,77.67536735863942
827.2695866979827,-0.0849977879224687,6.788642747158659,-0.488988225052628,76.44881243963628,-12.894728765929637,76.93780066468891
849.9859838823942,-0.06879940735623966,6.995314907359813,-0.5741558443834601,76.2246751601841,-12.704254986294712,76.79883100456756
873.3261616449116,-0.07553569031489572,7.218747595655329,-0.5775711873932978,75.77855421243515,-12.474086015040541,76.35612539982846
897.3072486792474,-0.07635817520359608,7.443119642930458,-0.6308579547569351,75.58696563558802,-12.248891482876711,76.21782359034495
921.94684402423,-0.08859533939821065,7.630183635392315,-0.6261963917696148,75.08377123589464,-12.049590326220239,75.70996762766426
947.2630299792385,-0.07288635025547595,7.86868531842077,-0.6249835249643876,74.81694720741882,-11.826797632334518,75.44193073238321
973.2743853742886,-0.07906410030580996,8.065051878069822,-0.6233767111642435,74.253416793621,-11.624253322635132,74.87679350478524
999.9999992045089,-0.08406752800416839,8.286940183933737,-0.6689630554232827,73.77260990648684,-11.39736158907286,74.44157296191011
1027.459484639012,-0.07980967074859636,8.54446223364678,-0.6314193320964967,73.36207701821527,-11.144097396615388,73.99349635031177
